time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-21 00:00:00+00:00,4,3,0,0
2023-12-22 00:00:00+00:00,82,30,23,1
2023-12-23 00:00:00+00:00,31,9,0,0
2023-12-24 00:00:00+00:00,69,21,3,1
2023-12-25 00:00:00+00:00,68,23,1,1
2023-12-26 00:00:00+00:00,47,15,0,0
2023-12-27 00:00:00+00:00,53,19,4,2
2023-12-28 00:00:00+00:00,53,18,6,1
2023-12-29 00:00:00+00:00,67,23,19,3
2023-12-30 00:00:00+00:00,50,20,0,0
2023-12-31 00:00:00+00:00,43,14,1,1
2024-01-01 00:00:00+00:00,49,14,0,0
2024-01-02 00:00:00+00:00,59,20,1,1
2024-01-03 00:00:00+00:00,79,29,2,1
2024-01-04 00:00:00+00:00,72,27,5,2
2024-01-05 00:00:00+00:00,53,18,43,2
2024-01-06 00:00:00+00:00,70,22,0,0
2024-01-07 00:00:00+00:00,59,18,0,0
2024-01-08 00:00:00+00:00,60,20,2,1
2024-01-09 00:00:00+00:00,58,22,0,0
2024-01-10 00:00:00+00:00,72,23,2,1
2024-01-11 00:00:00+00:00,74,31,0,0
2024-01-12 00:00:00+00:00,77,34,0,0
2024-01-13 00:00:00+00:00,56,20,1,1
2024-01-14 00:00:00+00:00,48,19,0,0
2024-01-15 00:00:00+00:00,67,21,10,2
2024-01-16 00:00:00+00:00,68,24,0,0
2024-01-17 00:00:00+00:00,82,32,1,1
2024-01-18 00:00:00+00:00,94,36,0,0
2024-01-19 00:00:00+00:00,62,19,3,1
2024-01-20 00:00:00+00:00,38,9,0,0
2024-01-21 00:00:00+00:00,59,19,1,1
2024-01-22 00:00:00+00:00,52,22,4,2
2024-01-23 00:00:00+00:00,16,6,0,0
2024-01-24 00:00:00+00:00,3,3,0,0
2024-01-26 00:00:00+00:00,67,26,15,1
2024-01-27 00:00:00+00:00,46,19,1,1
