time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-04 00:00:00+00:00,145,49,250,3
2024-01-05 00:00:00+00:00,32,4,0,0
2024-01-08 00:00:00+00:00,2,2,0,0
2024-01-12 00:00:00+00:00,4,2,0,0
2024-01-13 00:00:00+00:00,2,1,0,0
2024-01-16 00:00:00+00:00,17,11,71,2
2024-01-17 00:00:00+00:00,11,1,0,0
2024-01-19 00:00:00+00:00,3,1,0,0
2024-01-20 00:00:00+00:00,2,1,0,0
2024-01-22 00:00:00+00:00,1,1,0,0
2024-01-24 00:00:00+00:00,1,1,0,0
2024-01-26 00:00:00+00:00,3,1,0,0
2024-01-30 00:00:00+00:00,1,1,9,1
2024-02-01 00:00:00+00:00,2,1,0,0
2024-02-02 00:00:00+00:00,4,2,0,0
